	CCMD34381688ST-21-0_erectale.tsv	G78505_erectale.tsv	G88884_erectale.tsv	G88970_erectale.tsv	G89027_erectale.tsv	H2M514903_erectale.tsv	HD-1_erectale.tsv	T2D-063_erectale.tsv	T2D-105_erectale.tsv
UniRef90_A0A0M6WKE2	1	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WKI2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WKL2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WKN7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WKP3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WKQ9	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WKT2	0	0	0	0	1	0	1	1	0
UniRef90_A0A0M6WKT5	0	0	0	0	0	1	1	0	0
UniRef90_A0A0M6WKT6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WKU6	0	0	1	0	0	1	1	0	1
UniRef90_A0A0M6WKU7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WKU8	0	0	0	0	0	1	1	0	0
UniRef90_A0A0M6WKW0	1	0	0	0	0	0	0	0	0
UniRef90_A0A0M6WKW3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WKY4	0	1	1	1	0	0	1	0	1
UniRef90_A0A0M6WKZ6	1	0	1	0	0	0	1	0	0
UniRef90_A0A0M6WL08	0	0	0	0	1	0	0	0	1
UniRef90_A0A0M6WL46	0	0	1	1	1	1	1	1	1
UniRef90_A0A0M6WL63	1	0	0	0	0	1	1	0	1
UniRef90_A0A0M6WL88	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLA4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLB8	0	1	1	0	0	0	0	0	0
UniRef90_A0A0M6WLC7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLF2	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WLG2	1	1	1	1	1	1	0	0	1
UniRef90_A0A0M6WLI9	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLL6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLP2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLQ0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLR5	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WLU2	0	0	1	0	1	0	1	0	0
UniRef90_A0A0M6WLW1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLW9	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WLY2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLZ5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WLZ9	0	0	1	1	1	0	1	0	0
UniRef90_A0A0M6WM73	0	0	1	0	0	1	1	0	1
UniRef90_A0A0M6WM85	0	0	0	0	0	0	1	0	0
UniRef90_A0A0M6WMA2	1	0	1	0	1	0	0	0	0
UniRef90_A0A0M6WMC7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WMH2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WMH4	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WMK2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WML0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WMN4	0	1	1	0	0	0	0	0	0
UniRef90_A0A0M6WMR8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WMX4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WMZ5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WN07	0	0	1	0	1	1	0	0	0
UniRef90_A0A0M6WN15	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WN29	1	0	1	1	1	0	1	0	1
UniRef90_A0A0M6WN33	1	0	1	1	1	1	1	1	1
UniRef90_A0A0M6WN55	0	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WNB8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WNC1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WNC9	0	0	0	0	0	1	0	1	1
UniRef90_A0A0M6WND1	0	0	0	0	0	1	0	1	1
UniRef90_A0A0M6WND5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WNF3	0	0	1	0	0	0	1	0	0
UniRef90_A0A0M6WNG6	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WNQ2	1	1	1	1	1	1	1	0	0
UniRef90_A0A0M6WNS5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WNT1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WNU2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WNX8	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WNZ1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WNZ3	0	0	0	0	0	0	0	1	0
UniRef90_A0A0M6WP02	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WP21	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WP24	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WP30	1	1	1	1	0	1	1	1	1
UniRef90_A0A0M6WP41	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WP60	1	0	1	0	0	1	1	1	1
UniRef90_A0A0M6WPD2	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WPE3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WPF7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WPG9	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WPH0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WPL1	1	1	1	1	1	1	1	0	0
UniRef90_A0A0M6WPM8	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WPN4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WPQ4	1	1	1	1	1	1	1	1	0
UniRef90_A0A0M6WPQ5	1	1	1	1	1	1	1	1	0
UniRef90_A0A0M6WPV6	0	0	1	0	1	1	1	1	1
UniRef90_A0A0M6WPX1	1	1	1	1	1	1	1	0	1
UniRef90_A0A0M6WPX4	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WQ01	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WQ12	1	1	1	1	0	1	1	1	1
UniRef90_A0A0M6WQ27	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WQ29	0	0	0	1	0	1	0	1	0
UniRef90_A0A0M6WQ61	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WQ63	0	0	1	0	0	1	0	0	0
UniRef90_A0A0M6WQ71	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WQ82	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WQA2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WQD4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WQN0	1	1	1	1	0	1	1	1	1
UniRef90_A0A0M6WQP8	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WQR1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WQT8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WQV4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WQZ4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WR46	0	0	1	0	0	1	0	0	0
